Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
REN		ENSG00000143839	Renin	P00797	1	204154819-204190324	"Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"		"Aspartyl protease, Hydrolase, Protease"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	10	"kidney: 157.7"	"Group enriched"	"Detected in some"	5	"Club cells: 33.8;Late spermatids: 27.8;Smooth muscle cells: 14.8"	"Cancer enriched"	"Detected in many"	8	"renal cancer: 39.4"	"Region enhanced"	"Detected in many"		"choroid plexus: 7.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"Bladder cancer: 22.1;colorectal cancer: 8.4"	"Lung - Alveolar cells type 2, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA005131	Approved				"Secreted to blood"	Enzyme	NA	NA	692000	10000		"Cluster 52: Kidney - Transmembrane transport"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 50: Connective tissue cells - ECM organization"	2			"HPA005131: AB_1079174"	"unprognostic (4.45e-2)"	"unprognostic (3.35e-1)"	"unprognostic (1.62e-1)"	"unprognostic (8.58e-2)"		"unprognostic (2.89e-1)"	"unprognostic (1.23e-2)"	"unprognostic (1.24e-1)"	"unprognostic (1.13e-1)"	"unprognostic (7.20e-3)"	"unprognostic (1.37e-1)"	"unprognostic (1.57e-1)"	"prognostic unfavorable (6.45e-5)"	"unprognostic (1.22e-1)"	"unprognostic (1.70e-1)"	"unprognostic (4.98e-2)"	"unprognostic (6.49e-2)"
SLC22A24	"MGC34821, NET46"	ENSG00000197658	"Solute carrier family 22 member 24"	Q8N4F4	11	63079940-63144221	"Predicted membrane proteins"	"Ion transport, Lipid metabolism, Lipid transport, Steroid metabolism, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	10	"kidney: 4.2"	"Group enriched"	"Detected in some"	5	"Excitatory neurons: 5.7;Proximal tubular cells: 10.8"	"Cancer enriched"	"Detected in single"	11	"renal cancer: 0.5"	"Region enhanced"	"Detected in many"		"cerebral cortex: 6.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Liver - Hepatocytes"									HPA045015	Uncertain						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 53: Neurons - Mixed function"		"Cluster 38: Proximal tubular cells - Transmembrane transport"				"HPA045015: AB_2679183"							"unprognostic (5.72e-3)"						"unprognostic (1.80e-7)"				
NAT8	"ATase2, GLA, Hcml1, TSC501"	ENSG00000144035	"N-acetyltransferase 8 (putative)"	Q9UHE5	2	73640723-73642422	"Enzymes, Metabolic proteins, Predicted membrane proteins"		"Acyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	9	"kidney: 705.1"	"Cell type enriched"	"Detected in some"	19	"Proximal tubular cells: 1866.0"	"Cancer enriched"	"Detected in some"	5	"renal cancer: 242.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	9	"liver cancer: 5.0"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"									"HPA067855, HPA074519"	Supported		Supported	"Endoplasmic reticulum"			NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	25	"Endoplasmic reticulum"		"HPA067855: AB_2732774, HPA074519: AB_2686699"	"unprognostic (4.51e-2)"	"unprognostic (6.36e-2)"	"unprognostic (1.95e-1)"	"unprognostic (1.81e-1)"	"unprognostic (1.98e-1)"	"unprognostic (4.95e-3)"	"unprognostic (2.46e-1)"	"unprognostic (1.90e-2)"	"unprognostic (9.42e-2)"	"unprognostic (1.82e-1)"	"unprognostic (2.13e-2)"	"unprognostic (8.60e-2)"	"unprognostic (1.37e-3)"	"unprognostic (2.07e-2)"	"unprognostic (4.11e-3)"	"unprognostic (2.13e-2)"	"unprognostic (8.36e-5)"
SLC13A3	"NADC3, SDCT2"	ENSG00000158296	"Solute carrier family 13 member 3"	Q8WWT9	20	46557823-46684467	"Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Lipid transport, Sodium transport, Symport, Transport"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	9	"kidney: 392.3"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 51.1;Cytotrophoblasts: 105.3;Excitatory neurons: 62.8;Oligodendrocytes: 165.8;Proximal tubular cells: 183.6;Syncytiotrophoblasts: 70.2"	"Cancer enhanced"	"Detected in many"		"liver cancer: 11.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Kidney - Proximal tubular cells, Prostate - Prostate glandular cells, Stomach - Chief cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA014333, HPA014353, HPA014736"	Enhanced		Supported	"Plasma membrane"			NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 13: Oligodendrocytes - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	9	"Plasma membrane"		"HPA014333: AB_2732407, HPA014353: AB_1856968, HPA014736: AB_1856970"	"unprognostic (1.07e-2)"	"unprognostic (7.40e-2)"	"unprognostic (5.59e-2)"	"unprognostic (1.19e-2)"	"unprognostic (3.34e-1)"	"unprognostic (3.19e-2)"	"unprognostic (2.15e-1)"	"unprognostic (2.82e-2)"	"unprognostic (1.66e-2)"	"unprognostic (9.50e-2)"	"unprognostic (1.92e-2)"	"unprognostic (1.03e-1)"	"unprognostic (8.94e-2)"	"unprognostic (3.87e-1)"	"unprognostic (1.17e-1)"	"unprognostic (1.87e-1)"	"unprognostic (2.05e-2)"
CLTRN	"NX17, TMEM27"	ENSG00000147003	"Collectrin, amino acid transport regulator"	Q9HBJ8	X	15627318-15675012	"Metabolic proteins, Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	8	"kidney: 468.7"	"Cell type enriched"	"Detected in many"	22	"Proximal tubular cells: 673.6"	"Cancer enriched"	"Detected in many"	35	"renal cancer: 106.2"	"Region enriched"	"Detected in all"	14	"choroid plexus: 36.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Heart muscle - Cardiomyocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in many"			HPA048543	Enhanced		Approved	"Endoplasmic reticulum,Vesicles"			NA	NA			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	3	"Endoplasmic reticulum, Vesicles"		"HPA048543: AB_2680436"	"unprognostic (1.27e-1)"	"unprognostic (4.77e-2)"	"unprognostic (2.45e-2)"	"unprognostic (2.66e-2)"	"unprognostic (5.20e-2)"	"unprognostic (5.23e-2)"	"unprognostic (1.25e-1)"	"unprognostic (8.50e-2)"	"unprognostic (1.90e-2)"	"prognostic favorable (5.65e-4)"	"unprognostic (1.05e-2)"	"unprognostic (3.03e-1)"	"prognostic favorable (6.78e-9)"	"unprognostic (1.77e-1)"	"unprognostic (2.60e-2)"	"unprognostic (2.58e-1)"	"unprognostic (1.33e-2)"
KCP	"CRIM2, FLJ33365, NET67"	ENSG00000135253	"Kielin cysteine rich BMP regulator"	Q6ZWJ8	7	128862042-128910719	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	8	"kidney: 16.5"	"Cell type enhanced"	"Detected in many"		"Collecting duct cells: 54.5;Late spermatids: 32.2;Proximal enterocytes: 58.2;Skeletal myocytes: 215.7"	"Cancer enhanced"	"Detected in many"		"renal cancer: 5.5"	"Region enriched"	"Detected in single"	4	"cerebellum: 3.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	5	"Gallbladder cancer: 13.0;Kidney cancer: 8.2"	"Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"								"Secreted in other tissues"	"No annotated function"	NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 35: Non-specific - DNA binding"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 2: Skeletal myocytes - Muscle contraction"					"unprognostic (6.12e-2)"	"unprognostic (5.49e-2)"	"unprognostic (1.45e-3)"	"unprognostic (6.33e-3)"	"unprognostic (2.14e-1)"	"unprognostic (5.24e-3)"	"unprognostic (2.01e-3)"	"unprognostic (3.25e-3)"	"unprognostic (9.59e-2)"	"unprognostic (1.52e-1)"	"unprognostic (2.20e-3)"	"unprognostic (6.46e-2)"	"unprognostic (1.93e-1)"	"unprognostic (1.46e-1)"	"unprognostic (1.28e-1)"	"unprognostic (4.84e-2)"	"unprognostic (7.64e-3)"
NOX4	"KOX, KOX-1"	ENSG00000086991	"NADPH oxidase 4"	Q9NPH5	11	89324353-89498187	"Predicted membrane proteins, Transporters"		Oxidoreductase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	8	"kidney: 133.1"	"Cell type enriched"	"Detected in many"	4	"Proximal tubular cells: 132.0"	"Cancer enhanced"	"Detected in many"		"renal cancer: 5.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"testis cancer: 6.5"	"Breast - Endothelial cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Skin - Endothelial cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 30: White matter - Myelination"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	1				"unprognostic (2.91e-2)"	"unprognostic (1.08e-1)"	"unprognostic (1.74e-3)"	"unprognostic (6.58e-3)"	"unprognostic (1.92e-1)"	"unprognostic (2.33e-1)"	"unprognostic (8.83e-3)"	"unprognostic (8.95e-3)"	"unprognostic (3.80e-1)"	"unprognostic (6.88e-2)"	"unprognostic (1.56e-2)"	"unprognostic (1.73e-1)"	"prognostic favorable (6.14e-4)"	"unprognostic (1.99e-4)"	"unprognostic (9.71e-2)"	"unprognostic (5.69e-2)"	"unprognostic (3.03e-3)"
TINAG		ENSG00000137251	"Tubulointerstitial nephritis antigen"	Q9UJW2	6	54307859-54390142	"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	8	"kidney: 106.2"	"Group enriched"	"Detected in some"	5	"Distal enterocytes: 45.8;Proximal enterocytes: 70.4;Proximal tubular cells: 161.1"	"Cancer enriched"	"Detected in some"	4	"renal cancer: 15.8"	"Region enhanced"	"Detected in some"		"pons: 4.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Kidney cancer: 12.4"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA035427, HPA073753"	Approved				"Secreted to extracellular matrix"	"Cell adhesion"	NA	NA		40000		"Cluster 52: Kidney - Transmembrane transport"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"				"HPA035427: AB_10601822, HPA073753: "			"unprognostic (7.62e-3)"			"unprognostic (1.12e-2)"	"prognostic unfavorable (2.05e-5)"	"unprognostic (7.27e-2)"			"unprognostic (5.99e-3)"		"prognostic favorable (8.75e-5)"	"unprognostic (7.10e-2)"			
CDH16		ENSG00000166589	"Cadherin 16"	O75309	16	66908122-66918917	"Predicted intracellular proteins, Predicted membrane proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"kidney: 243.1"	"Cell type enriched"	"Detected in some"	4	"Collecting duct cells: 472.6"	"Cancer enriched"	"Detected in many"	15	"renal cancer: 96.2"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bile duct cancer: 15.9;Kidney cancer: 17.5;Uterine cancer: 9.2"	"Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			"CAB013526, HPA036260"	Enhanced						NA	NA		130000		"Cluster 52: Kidney - Transmembrane transport"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	1			"CAB013526: , HPA036260: AB_2675027"		"unprognostic (1.07e-1)"	"unprognostic (2.47e-1)"	"unprognostic (1.96e-1)"		"unprognostic (9.81e-2)"	"unprognostic (4.24e-3)"	"unprognostic (5.81e-2)"	"unprognostic (5.58e-1)"	"unprognostic (1.02e-1)"	"unprognostic (1.23e-2)"		"prognostic favorable (1.02e-7)"	"unprognostic (2.19e-1)"	"unprognostic (1.99e-1)"	"unprognostic (7.36e-3)"	"unprognostic (2.34e-2)"
CLCNKA	hClC-Ka	ENSG00000186510	"Chloride voltage-gated channel Ka"	P51800	1	16018875-16034050	"Disease related genes, Human disease related genes, Predicted membrane proteins"	"Ion transport, Transport"	"Chloride channel, Ion channel, Voltage-gated channel"	"Bartter syndrome, Deafness, Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	7	"kidney: 334.2"	"Cell type enriched"	"Detected in some"	7	"Late spermatids: 216.3"	"Group enriched"	"Detected in some"	7	"renal cancer: 4.4;thyroid cancer: 1.6"	"Group enriched"	"Detected in some"	7	"cerebellum: 3.9;choroid plexus: 9.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	5	"thyroid cancer: 7.5"	"Adipose visceral - Adipocytes (Visceral), Lung - Respiratory ciliated cells, Skin - Eccrine sweat gland cells, Stomach - Parietal cells, Testis - Early spermatids, Testis - Late spermatids"									HPA057717	Approved						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 5: Non-specific - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 63: Late spermatids - Spermatogenesis"				"HPA057717: AB_2683509"	"unprognostic (2.35e-2)"	"unprognostic (1.24e-1)"	"unprognostic (1.37e-2)"	"unprognostic (4.02e-1)"	"unprognostic (2.76e-3)"	"unprognostic (8.20e-2)"	"unprognostic (6.16e-2)"	"unprognostic (1.18e-2)"	"unprognostic (6.92e-3)"	"unprognostic (3.49e-2)"	"unprognostic (1.76e-2)"	"unprognostic (1.41e-1)"	"unprognostic (8.13e-3)"	"unprognostic (1.36e-1)"	"unprognostic (9.13e-2)"	"unprognostic (4.37e-3)"	"unprognostic (1.28e-1)"
CLEC18B	MRCL2	ENSG00000140839	"C-type lectin domain family 18 member B"	Q6UXF7	16	74408631-74421478	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"kidney: 31.0"	"Group enriched"	"Detected in some"	11	"Proximal tubular cells: 32.2;Sertoli cells: 13.6"	"Cancer enhanced"	"Detected in some"		"glioma: 2.7;renal cancer: 5.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"lung cancer: 3.5"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells"									HPA048976	Uncertain				"Secreted to blood"	"No annotated function"	NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 54: Immune cells - T cell receptor"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 38: Proximal tubular cells - Transmembrane transport"				"HPA048976: AB_2680582"	"unprognostic (5.69e-2)"	"unprognostic (1.46e-1)"	"unprognostic (5.30e-3)"	"unprognostic (9.37e-2)"	"prognostic unfavorable (2.07e-4)"	"unprognostic (7.15e-2)"	"unprognostic (7.51e-2)"	"unprognostic (4.49e-3)"	"unprognostic (2.17e-1)"	"unprognostic (2.28e-1)"	"unprognostic (9.91e-2)"	"unprognostic (3.58e-2)"	"unprognostic (1.42e-2)"	"unprognostic (2.31e-2)"	"unprognostic (5.87e-2)"	"unprognostic (5.43e-2)"	"unprognostic (4.27e-2)"
PTH1R	"PTHR, PTHR1"	ENSG00000160801	"Parathyroid hormone 1 receptor"	Q03431	3	46877721-46903799	"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"Disease variant, Dwarfism, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	7	"kidney: 570.9"	"Cell type enhanced"	"Detected in many"		"Collecting duct cells: 33.1;Distal tubular cells: 49.2;Extravillous trophoblasts: 72.7;Late spermatids: 31.5;Proximal tubular cells: 214.6;Sertoli cells: 57.1"	"Group enriched"	"Detected in many"	4	"renal cancer: 18.8;testis cancer: 5.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"testis cancer: 4.8"	"Breast - Adipocytes (Breast)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA075879	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	9			"HPA075879: "	"unprognostic (1.26e-1)"	"unprognostic (7.09e-2)"	"unprognostic (2.24e-5)"	"unprognostic (7.46e-2)"	"unprognostic (3.46e-1)"	"unprognostic (5.02e-2)"	"unprognostic (3.84e-3)"	"unprognostic (5.47e-2)"	"unprognostic (2.18e-1)"	"unprognostic (1.13e-2)"	"unprognostic (7.51e-2)"	"unprognostic (8.44e-2)"	"prognostic favorable (6.79e-6)"	"unprognostic (4.22e-3)"	"unprognostic (1.50e-1)"	"unprognostic (1.35e-4)"	"unprognostic (6.62e-3)"
SLC13A1	"NAS1, NaSi-1"	ENSG00000081800	"Solute carrier family 13 member 1"	Q9BZW2	7	123113531-123199972	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Ion transport, Sodium transport, Sulfate transport, Symport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"kidney: 79.0"	"Cell type enriched"	"Detected in some"	6	"Proximal tubular cells: 427.8"	"Cancer enriched"	"Detected in single"	219	"renal cancer: 10.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA053615, HPA062714"	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"			"Cluster 38: Proximal tubular cells - Transmembrane transport"				"HPA053615: AB_2682207, HPA062714: AB_2684846"											"unprognostic (1.86e-1)"		"prognostic favorable (8.95e-5)"	"unprognostic (1.71e-1)"	"unprognostic (3.76e-1)"		
BSND	"BART, DFNB73"	ENSG00000162399	"Barttin CLCNK type accessory subunit beta"	Q8WZ55	1	54998933-55017172	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"			"Bartter syndrome, Deafness, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"kidney: 9.2"	"Group enriched"	"Detected in some"	8	"Collecting duct cells: 9.7;Distal tubular cells: 9.2;Ionocytes: 16.9;Salivary duct cells: 6.2"	"Cancer enriched"	"Detected in some"	7	"renal cancer: 3.5"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA053836, HPA060617"	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 39: Non-specific - Basic cellular processes"	25			"HPA053836: AB_2682277, HPA060617: AB_2732651"	"unprognostic (3.38e-2)"	"unprognostic (9.17e-2)"		"unprognostic (2.27e-2)"	"unprognostic (6.97e-3)"	"unprognostic (3.35e-1)"	"unprognostic (8.97e-3)"	"unprognostic (2.51e-1)"		"unprognostic (1.78e-1)"	"unprognostic (4.93e-2)"	"unprognostic (6.92e-2)"	"unprognostic (2.66e-2)"	"unprognostic (1.68e-2)"	"unprognostic (1.57e-1)"		
CLDN16	"HOMG3, PCLN1"	ENSG00000113946	"Claudin 16"	Q9Y5I7	3	190322541-190412138	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Ion transport, Transport"		"Disease variant, Primary hypomagnesemia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"kidney: 61.3"	"Cell type enriched"	"Detected in some"	10	"Distal tubular cells: 119.9"	"Group enriched"	"Detected in many"	15	"ovarian cancer: 39.8;thyroid cancer: 29.6"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	10	"ovarian cancer: 120.3;Uterine cancer: 175.0"	"Adipose visceral - Mesothelial cells, Kidney - Ascending Loop of Henle cells, Liver - Hepatocytes, Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA056020	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 39: Non-specific - Basic cellular processes"				"HPA056020: AB_2683011"	"unprognostic (5.01e-2)"	"unprognostic (7.83e-3)"	"unprognostic (1.96e-1)"	"prognostic unfavorable (1.99e-5)"	"unprognostic (6.06e-4)"	"unprognostic (1.30e-1)"	"unprognostic (2.07e-1)"	"unprognostic (2.39e-2)"	"unprognostic (3.31e-1)"	"unprognostic (4.20e-1)"	"unprognostic (2.76e-3)"	"unprognostic (3.70e-1)"	"unprognostic (1.96e-1)"	"unprognostic (5.76e-2)"	"unprognostic (8.08e-2)"	"unprognostic (1.62e-2)"	"unprognostic (1.15e-1)"
GGACT	A2LD1	ENSG00000134864	"Gamma-glutamylamine cyclotransferase"	Q9BVM4	13	100530164-100589528	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		Lyase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	6	"kidney: 69.7"	"Group enriched"	"Detected in many"	4	"Proximal tubular cells: 88.0;Spermatocytes: 23.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA065320	Enhanced						NA	NA		110000	"Cluster 33: Non-specific - ATP binding"	"Cluster 52: Kidney - Transmembrane transport"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	2			"HPA065320: AB_2685466"	"unprognostic (1.93e-1)"	"unprognostic (5.33e-2)"	"unprognostic (2.32e-1)"	"unprognostic (1.30e-3)"	"unprognostic (9.12e-3)"	"unprognostic (1.64e-2)"	"unprognostic (1.58e-2)"	"unprognostic (2.07e-2)"	"unprognostic (7.41e-2)"	"unprognostic (2.81e-1)"	"unprognostic (3.03e-2)"	"unprognostic (2.45e-1)"	"unprognostic (1.95e-2)"	"unprognostic (3.09e-2)"	"unprognostic (1.07e-1)"	"unprognostic (3.37e-2)"	"unprognostic (2.57e-1)"
