Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
TMEM72	"bA285G1.3, C10orf127, KSP37"	ENSG00000187783	"Transmembrane protein 72"	A0PK05	10	44911316-44937010	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	7	"choroid plexus: 46.6;kidney: 72.5"	"Cell type enhanced"	"Detected in some"		"Collecting duct cells: 25.3;Distal enterocytes: 31.0;Distal tubular cells: 24.6;Enteroendocrine cells: 6.5;Late spermatids: 16.3;Paneth cells: 11.4"	"Cancer enriched"	"Detected in some"	8	"renal cancer: 8.7"	"Region enriched"	"Detected in all"	13	"choroid plexus: 112.6"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	4	"Myeloma: 3.7"	"Colon - Colon enterocytes, Kidney - Ascending Loop of Henle cells, Testis - Late spermatids"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"HPA039894, HPA062907"	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 5: Enterocytes - Absorption"	9			"HPA039894: AB_10795261, HPA062907: AB_2684900"	"unprognostic (1.69e-1)"	"unprognostic (1.10e-1)"	"unprognostic (2.67e-2)"	"unprognostic (3.22e-1)"	"unprognostic (1.08e-1)"		"unprognostic (4.57e-2)"	"unprognostic (3.24e-2)"		"unprognostic (8.58e-2)"	"unprognostic (5.45e-2)"		"prognostic favorable (1.01e-4)"	"unprognostic (4.99e-3)"	"unprognostic (1.37e-1)"	"unprognostic (3.22e-1)"	
UGT2A3	FLJ21934	ENSG00000135220	"UDP glucuronosyltransferase family 2 member A3"	Q6UWM9	4	68928463-68951804	"Enzymes, Metabolic proteins, Predicted membrane proteins"		"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	7	"intestine: 30.5;kidney: 20.4;liver: 12.9;pancreas: 15.8"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 89.7;Distal enterocytes: 104.0;Enteroendocrine cells: 45.6;Hepatocytes: 51.0;Paneth cells: 57.8;Proximal enterocytes: 229.6;Proximal tubular cells: 113.3;Undifferentiated cells: 81.4"	"Cancer enriched"	"Detected in many"	5	"renal cancer: 46.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Colon - Colon enterocytes, Kidney - Proximal tubular cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA045108	Supported						NA	NA				"Cluster 55: Kidney & Intestine - Metabolism"		"Cluster 18: Liver cancer - Metabolism"	"Cluster 22: Proximal enterocytes - Digestion"				"HPA045108: AB_2679218"			"prognostic favorable (3.31e-4)"				"unprognostic (3.97e-3)"				"unprognostic (8.87e-3)"		"prognostic favorable (6.07e-7)"	"unprognostic (2.10e-2)"			
XPNPEP2		ENSG00000122121	"X-prolyl aminopeptidase 2"	O43895	X	129738949-129769536	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"		"Aminopeptidase, Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	7	"intestine: 162.0;kidney: 150.4"	"Cell type enriched"	"Detected in some"	8	"Proximal enterocytes: 414.5"	"Cancer enhanced"	"Detected in many"		"liver cancer: 18.3"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	4	"gdT-cell: 4.3;intermediate monocyte: 1.4;MAIT T-cell: 1.2;memory CD4 T-cell: 1.3;memory CD8 T-cell: 2.8;naive CD8 T-cell: 2.0;non-classical monocyte: 2.8;T-reg: 1.4"	"Group enriched"	"Detected in many"	7	"monocytes: 2.8;T-cells: 4.3"	"Cancer enhanced"	"Detected in some"		"colorectal cancer: 1.2;Leukemia: 1.0"	"Breast - Macrophages, Heart muscle - Fibroblasts, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Lung - Fibroblast_2, Skin - Fibroblast_2"	"Not detected"	"Not detected"			"Region enriched"	"Detected in single"	9	"spinal cord: 2.4"	"HPA000339, CAB025136, CAB025269, HPA064568"	Enhanced		Approved	"Plasma membrane,Cytosol"	"Intracellular and membrane"	Enzyme	NA	NA		13000000	"Cluster 33: Non-specific - ATP binding"	"Cluster 55: Kidney & Intestine - Metabolism"		"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 22: Proximal enterocytes - Digestion"		"Plasma membrane, Cytosol"		"CAB025136: , CAB025269: , HPA000339: AB_1858894, HPA064568: "	"unprognostic (7.95e-2)"	"unprognostic (5.73e-2)"	"unprognostic (2.56e-1)"	"unprognostic (6.21e-3)"	"unprognostic (3.54e-2)"	"unprognostic (1.54e-1)"	"unprognostic (4.04e-1)"	"unprognostic (3.26e-1)"	"unprognostic (3.01e-1)"	"unprognostic (2.41e-2)"	"unprognostic (3.07e-1)"	"unprognostic (9.28e-3)"	"unprognostic (2.77e-2)"	"unprognostic (6.53e-2)"	"unprognostic (3.18e-2)"	"unprognostic (1.39e-2)"	"unprognostic (3.26e-3)"
ASS1	"ASS, CTLN1"	ENSG00000130707	"Argininosuccinate synthase 1"	P00966	9	130444961-130501274	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Amino-acid biosynthesis, Arginine biosynthesis, Urea cycle"	Ligase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	6	"kidney: 1238.9;liver: 1978.3"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 1030.8;Proximal enterocytes: 610.9;Proximal tubular cells: 1113.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	15	"plasmacytoid DC: 1.5"	"Lineage enriched"	"Detected in single"	15	"dendritic cells: 1.5"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Prostate - Urothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA020896, HPA020934"	Enhanced		Supported	Nucleoplasm,Cytosol			No	No		6400000		"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 44: Non-specific - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	2	Cytosol	Nucleoplasm	"HPA020896: AB_1845117, HPA020934: AB_1845118"	"unprognostic (3.73e-2)"	"unprognostic (1.77e-2)"	"unprognostic (2.78e-1)"	"prognostic unfavorable (8.14e-9)"	"unprognostic (3.06e-1)"	"unprognostic (1.05e-2)"	"unprognostic (2.93e-2)"	"unprognostic (3.71e-2)"	"unprognostic (3.27e-2)"	"unprognostic (1.22e-1)"	"unprognostic (4.02e-2)"	"unprognostic (4.24e-2)"	"unprognostic (2.92e-3)"	"unprognostic (1.41e-2)"	"unprognostic (1.05e-1)"	"unprognostic (3.14e-1)"	"unprognostic (4.72e-3)"
BBOX1	"BBH, BBOX, G-BBH, gamma-BBH"	ENSG00000129151	"Gamma-butyrobetaine hydroxylase 1"	O75936	11	27040725-27127809	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Carnitine biosynthesis"	"Dioxygenase, Oxidoreductase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	6	"kidney: 450.8;liver: 127.9"	"Cell type enriched"	"Detected in many"	7	"Proximal tubular cells: 1502.0"	"Group enriched"	"Detected in many"	6	"glioma: 23.7;renal cancer: 59.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Myeloma: 10.2"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA007600, HPA027823"	Enhanced	Approved	Uncertain	"Vesicles,Actin filaments"			NA	NA		35000		"Cluster 52: Kidney - Transmembrane transport"	"Cluster 46: Brainstem - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"		Vesicles	"Actin filaments"	"HPA007600: AB_1845284, HPA027823: AB_10602394"	"unprognostic (9.96e-3)"	"unprognostic (1.80e-2)"	"unprognostic (8.17e-2)"	"prognostic unfavorable (6.65e-4)"	"unprognostic (7.03e-2)"	"unprognostic (6.66e-2)"	"unprognostic (7.05e-3)"	"unprognostic (1.13e-2)"	"unprognostic (3.03e-1)"	"unprognostic (6.89e-2)"	"unprognostic (2.03e-2)"	"unprognostic (1.60e-1)"	"prognostic favorable (1.45e-5)"	"unprognostic (1.71e-2)"	"unprognostic (2.70e-1)"	"unprognostic (3.22e-1)"	"unprognostic (1.73e-3)"
CLEC18A	MRCL	ENSG00000157322	"C-type lectin domain family 18 member A"	A5D8T8	16	69950705-69964452	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"choroid plexus: 15.9;kidney: 23.2"	"Cell type enriched"	"Detected in some"	8	"Proximal tubular cells: 68.3"	"Cancer enriched"	"Detected in single"	7	"renal cancer: 1.5"	"Region enhanced"	"Detected in some"		"choroid plexus: 6.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	5	"lung cancer: 3.8"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells"									HPA048976	Uncertain				"Secreted to blood"	"No annotated function"	NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	5			"HPA048976: AB_2680582"	"unprognostic (1.68e-1)"	"unprognostic (3.06e-2)"	"unprognostic (1.19e-2)"	"unprognostic (1.48e-1)"	"unprognostic (3.14e-2)"	"unprognostic (4.62e-2)"	"unprognostic (1.36e-1)"	"unprognostic (4.14e-2)"	"unprognostic (1.04e-1)"	"unprognostic (4.40e-2)"	"unprognostic (6.77e-4)"	"unprognostic (6.73e-2)"	"unprognostic (4.58e-2)"	"unprognostic (2.06e-1)"	"unprognostic (9.03e-4)"	"unprognostic (1.52e-1)"	"unprognostic (2.53e-2)"
DEPDC7		ENSG00000121690	"DEP domain containing 7"	Q96QD5	11	33015876-33033582	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	6	"intestine: 28.2;kidney: 18.8;liver: 71.8;testis: 27.4"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 204.9;Extravillous trophoblasts: 54.9;Oocytes: 59.6;Spermatocytes: 34.4"	"Cancer enhanced"	"Detected in many"		"liver cancer: 6.6"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"eosinophil: 6.7"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA015800			Approved	Nucleoplasm,Nucleoli,Cytosol			Yes	No			"Cluster 29: Non-specific - Unknown function"	"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 11: White matter - Signal transduction"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 4: Extravillous trophoblasts - Unknown function"		Nucleoli	"Nucleoplasm, Cytosol"	"HPA015800: AB_1847610"	"unprognostic (2.34e-1)"	"unprognostic (5.57e-2)"	"unprognostic (1.27e-1)"	"unprognostic (2.27e-1)"	"unprognostic (2.66e-2)"	"unprognostic (7.26e-2)"	"prognostic favorable (7.26e-4)"	"unprognostic (1.80e-1)"	"unprognostic (1.22e-1)"	"unprognostic (2.92e-1)"	"unprognostic (1.17e-3)"	"unprognostic (8.99e-2)"	"unprognostic (1.89e-2)"	"unprognostic (9.30e-2)"	"unprognostic (8.09e-3)"	"unprognostic (2.64e-1)"	"unprognostic (2.94e-2)"
FMO4	FMO2	ENSG00000076258	"Flavin containing dimethylaniline monoxygenase 4"	P31512	1	171314183-171342084	"Enzymes, Metabolic proteins, Predicted membrane proteins"		"Monooxygenase, Oxidoreductase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	6	"kidney: 46.8;liver: 59.4"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 22.5;Oligodendrocytes: 17.2;Proximal enterocytes: 15.9;Proximal tubular cells: 51.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Kidney - Proximal tubular cells, Liver - Hepatocytes, Thyroid - Fibroblasts"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA049100, HPA072438"	Approved		Approved	Vesicles,Cytosol			NA	NA			"Cluster 14: Non-specific - Unknown function"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 30: White matter - Myelination"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"		"Vesicles, Cytosol"		"HPA049100: AB_2680629, HPA072438: "	"unprognostic (1.83e-2)"	"unprognostic (1.17e-1)"	"unprognostic (6.18e-2)"	"unprognostic (3.01e-2)"	"unprognostic (8.27e-2)"	"unprognostic (4.13e-1)"	"prognostic favorable (1.09e-4)"	"prognostic favorable (7.45e-4)"	"unprognostic (3.12e-2)"	"unprognostic (2.15e-1)"	"unprognostic (5.99e-2)"	"unprognostic (2.90e-1)"	"prognostic favorable (6.96e-4)"	"unprognostic (1.03e-1)"	"unprognostic (1.69e-1)"	"unprognostic (7.45e-3)"	"unprognostic (1.95e-1)"
G6PC1	"G6PC, G6PT, GSD1a"	ENSG00000131482	"Glucose-6-phosphatase catalytic subunit 1"	P35575	17	42900797-42914438	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	Gluconeogenesis	Hydrolase	"Disease variant, Glycogen storage disease"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"kidney: 72.4;liver: 279.7"	"Group enriched"	"Detected in some"	8	"Hepatocytes: 231.1;Proximal enterocytes: 167.6"	"Cancer enriched"	"Detected in some"	72	"liver cancer: 151.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	10	"liver cancer: 1.7"	"Kidney - Proximal tubular cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA052324	Enhanced						NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 6: Non-specific - Immune response"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"	2			"HPA052324: AB_2681790"				"unprognostic (4.23e-2)"	"unprognostic (1.49e-2)"		"prognostic favorable (5.42e-5)"				"unprognostic (8.37e-2)"		"prognostic favorable (3.79e-5)"	"unprognostic (4.79e-2)"	"unprognostic (6.46e-2)"		"unprognostic (2.56e-3)"
GALNT11	GalNAc-T11	ENSG00000178234	"Polypeptide N-acetylgalactosaminyltransferase 11"	Q8NCW6	7	152025674-152122340	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Notch signaling pathway"	"Glycosyltransferase, Transferase"	Heterotaxy	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	6	"choroid plexus: 822.8;kidney: 221.0"	"Cell type enhanced"	"Detected in all"		"Excitatory neurons: 126.6;Inhibitory neurons: 125.2;Proximal tubular cells: 162.3"	"Cancer enhanced"	"Detected in all"		"renal cancer: 30.9"	"Region enriched"	"Detected in all"	9	"choroid plexus: 878.7"	"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA039330	Uncertain						NA	NA			"Cluster 1: T-cells - Unknown function"	"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 39: Non-specific - Transcription"	"Cluster 38: Proximal tubular cells - Transmembrane transport"				"HPA039330: AB_10795249"	"unprognostic (6.09e-2)"	"unprognostic (1.22e-1)"	"unprognostic (4.98e-2)"	"unprognostic (3.48e-2)"	"prognostic unfavorable (9.54e-4)"	"unprognostic (1.76e-1)"	"unprognostic (9.10e-3)"	"unprognostic (1.56e-3)"	"unprognostic (1.38e-1)"	"unprognostic (3.65e-1)"	"unprognostic (3.82e-2)"	"unprognostic (1.64e-1)"	"prognostic favorable (2.24e-6)"	"unprognostic (1.33e-1)"	"unprognostic (1.17e-1)"	"unprognostic (2.97e-1)"	"unprognostic (9.51e-2)"
OTOGL	"C12orf64, FLJ90579"	ENSG00000165899	"Otogelin like"	Q3ZCN5	12	80099537-80380880	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"			"Deafness, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"heart muscle: 1.8;kidney: 5.0"	"Group enriched"	"Detected in some"	5	"Excitatory neurons: 49.6;Oligodendrocyte precursor cells: 39.6"	"Cancer enhanced"	"Detected in single"		"testis cancer: 0.5"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Myeloma: 1.5"	"Colon - Enteric glia cells, Kidney - Proximal tubular cells, Pancreas - Alpha cells, Pancreas - Beta cells, Skin - Sebaceous gland cells"	"Not detected"	"Not detected"			"Region enriched"	"Detected in single"	6	"basal ganglia: 5.5"	"HPA040364, HPA053392"	Uncertain		Approved	Cytosol	"Secreted in other tissues"	"No annotated function"	NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 53: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	1	Cytosol		"HPA040364: AB_10795365, HPA053392: AB_2682135"	"unprognostic (2.43e-1)"	"unprognostic (2.78e-2)"	"unprognostic (2.55e-2)"	"unprognostic (1.50e-1)"	"unprognostic (5.99e-2)"	"unprognostic (3.10e-1)"	"unprognostic (3.34e-3)"	"unprognostic (4.76e-2)"	"unprognostic (2.72e-2)"	"unprognostic (4.52e-2)"	"unprognostic (2.79e-2)"	"unprognostic (1.57e-1)"	"unprognostic (1.95e-5)"	"unprognostic (1.41e-1)"	"unprognostic (1.11e-1)"	"unprognostic (2.79e-2)"	"unprognostic (2.04e-2)"
PCK2	"PEPCK, PEPCK2"	ENSG00000100889	"Phosphoenolpyruvate carboxykinase 2, mitochondrial"	Q16822	14	24094053-24110598	"Citric acid cycle related proteins, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	Gluconeogenesis	"Decarboxylase, Lyase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	6	"intestine: 190.6;kidney: 95.5;liver: 365.0"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 307.6;Proximal enterocytes: 765.9;Proximal tubular cells: 138.6"	"Cancer enhanced"	"Detected in all"		"liver cancer: 91.3"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Kidney - Proximal tubular cells, Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"CAB018734, HPA051162, HPA053502"	Enhanced		Enhanced	Mitochondria			NA	NA		3500000	"Cluster 14: Non-specific - Unknown function"	"Cluster 37: Liver & Intestine - Lipid metabolism"	"Cluster 44: Non-specific - Mixed function"	"Cluster 13: Non-specific - Mixed function"	"Cluster 22: Proximal enterocytes - Digestion"	2	Mitochondria		"CAB018734: AB_2160168, HPA051162: AB_2681368, HPA053502: AB_2682171"	"unprognostic (3.38e-2)"	"unprognostic (1.13e-1)"	"unprognostic (1.50e-2)"	"unprognostic (4.07e-1)"	"unprognostic (3.11e-1)"	"unprognostic (2.10e-1)"	"prognostic favorable (2.81e-4)"	"unprognostic (3.91e-2)"	"unprognostic (1.04e-1)"	"unprognostic (2.18e-2)"	"unprognostic (1.26e-1)"	"unprognostic (3.67e-2)"	"unprognostic (1.33e-2)"	"unprognostic (2.81e-1)"	"unprognostic (3.71e-1)"	"unprognostic (2.82e-2)"	"unprognostic (1.17e-1)"
PKHD1	"ARPKD, FCYT, FPC, TIGM1"	ENSG00000170927	"PKHD1 ciliary IPT domain containing fibrocystin/polyductin"	P08F94	6	51615299-52087613	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		Receptor	"Ciliopathy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"epididymis: 4.6;kidney: 13.2;pancreas: 9.1"	"Group enriched"	"Detected in some"	5	"Early spermatids: 370.0;Late spermatids: 97.9"	"Group enriched"	"Detected in some"	5	"pancreatic cancer: 1.4;renal cancer: 5.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bile duct cancer: 2.1;Kidney cancer: 2.0"	"Liver - Hepatocytes, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA031227	Enhanced				"Intracellular and membrane"	Receptor	NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 21: Early spermatids - Spermatogenesis"	1			"HPA031227: AB_10602068"	"unprognostic (6.34e-3)"	"unprognostic (5.51e-2)"	"unprognostic (8.80e-3)"	"unprognostic (1.35e-1)"	"unprognostic (3.80e-2)"	"unprognostic (1.29e-2)"	"unprognostic (4.03e-2)"	"unprognostic (6.42e-2)"	"unprognostic (7.08e-2)"	"unprognostic (2.44e-2)"	"unprognostic (1.02e-2)"	"unprognostic (2.62e-2)"	"prognostic favorable (9.74e-8)"	"unprognostic (2.33e-2)"	"unprognostic (1.09e-1)"	"unprognostic (1.12e-1)"	"unprognostic (1.48e-2)"
PLPPR1	"FLJ20300, LPPR1, MGC26189, PRG-3"	ENSG00000148123	"Phospholipid phosphatase related 1"	Q8TBJ4	9	101028727-101325135	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"brain: 24.7;kidney: 15.1"	"Group enriched"	"Detected in some"	4	"Oligodendrocyte precursor cells: 602.8;Oligodendrocytes: 253.7"	"Group enriched"	"Detected in some"	5	"glioma: 11.1;liver cancer: 5.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"lung cancer: 1.1"	"Liver - Hepatocytes, Pancreas - Alpha cells, Skin - Eccrine sweat gland cells, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA014760, HPA014968, HPA014979"	Supported		Supported	Nucleoplasm			NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 13: Oligodendrocytes - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	13	Nucleoplasm		"HPA014760: AB_2669084, HPA014968: AB_1855702, HPA014979: AB_2669130"	"unprognostic (1.08e-2)"	"unprognostic (2.79e-1)"	"unprognostic (2.98e-2)"	"unprognostic (2.54e-1)"	"unprognostic (1.14e-1)"	"unprognostic (7.33e-2)"	"unprognostic (3.41e-1)"	"prognostic favorable (1.37e-4)"	"unprognostic (2.09e-1)"	"unprognostic (1.14e-1)"	"unprognostic (9.86e-4)"	"unprognostic (1.44e-1)"	"unprognostic (1.65e-6)"	"unprognostic (3.68e-2)"	"unprognostic (1.46e-1)"	"unprognostic (2.85e-1)"	"unprognostic (4.83e-2)"
